Trainer Name / Item Name,Location,Type,Location_Type,Script_or_Flag,PostScript (Leave blank if you don't know what this is),Hidden,Requirements,Requirements 2,Requirements 3,Requirements Alternative,Requirements Alternative 2,,,,
ITEM_CLAW_FOSSIL,Desert Underpass,Normal Item,NPC,,,FALSE,,,,,,,,,
TRAINER_Laura,Dewford Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Lilith,Dewford Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Brenden,Dewford Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Cristian,Dewford Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Jocelyn,Dewford Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Brawly_1,Dewford Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
FLAG_BADGE02_GET,Dewford Gym,Badge,Gym Leader,,,FALSE,,,,,,,,,
ITEM_OLD_ROD,Dewford,Normal Item,NPC,,,FALSE,,,,,,,,,
ITEM_SILK_SCARF,Dewford,Normal Item,NPC,,,FALSE,,,,,,,,,
ITEM_TM36,Dewford,Normal Item,NPC,,,FALSE,,,,,,,,,
TRAINER_Drake,Ever Grand City,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Phoebe,Ever Grand City,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Glacia,Ever Grand City,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_SIDNEY,Ever Grand City,Trainer,Trainer,,,FALSE,,,,,,,,,
ITEM_NUGGET,Fallarbor Town,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_FALLARBOR_TOWN_NUGGET,,TRUE,,,,,,,,,
ITEM_TM27,Fallarbor Town,TM,NPC,,,FALSE,ITEM_METEORITE,,,,,,,,
SPECIES_MEW,Faraway Island,Trainer,Legendary Pokemon,,,FALSE,ITEM_OLD_SEA_MAP,,,,,,,,
ITEM_FIRE_STONE,Fiery Path,Normal Item,Item Ball,FLAG_ITEM_FIERY_PATH_FIRE_STONE,,FALSE,,,,,,,,,
ITEM_TM_TOXIC,Fiery Path,Normal Item,Item Ball,FLAG_ITEM_FIERY_PATH_TM_TOXIC,,FALSE,,,,,,,,,
ITEM_TM_HIDDEN_POWER,Fortree,Normal Item,NPC,,,FALSE,,,,,,,,,
ITEM_MENTAL_HERB,Fortree,Normal Item,NPC,,,FALSE,,,,,,,,,
TRAINER_Jared,Fortree Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Humberto,Fortree Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Ashley,Fortree Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Flint,Fortree Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Edwardo,Fortree Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Darius,Fortree Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Winona_1,Fortree Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
FLAG_BADGE06_GET,Fortree Gym,Badge,Gym Leader,,,FALSE,,,,,,,,,
ITEM_REPEL,Granite Cave,Normal Item,Item Ball,FLAG_ITEM_GRANITE_CAVE_B2F_REPEL,,FALSE,,,,,,,,,
ITEM_HM05,Granite Cave,Normal Item,NPC,,,FALSE,,,,,,,,,
ITEM_ESCAPE_ROPE,Granite Cave,Normal Item,Item Ball,FLAG_ITEM_GRANITE_CAVE_1F_ESCAPE_ROPE,,FALSE,,,,,,,,,
ITEM_POKE_BALL,Granite Cave,Normal Item,Item Ball,FLAG_ITEM_GRANITE_CAVE_B1F_POKE_BALL,,FALSE,,,,,,,,,
ITEM_EVERSTONE,Granite Cave,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_GRANITE_CAVE_B2F_EVERSTONE_1,,TRUE,,,,,,,,,
ITEM_EVERSTONE,Granite Cave,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_GRANITE_CAVE_B2F_EVERSTONE_2,,TRUE,ITEM_MACH_BIKE,,,,,,,,
ITEM_TM47,Granite Cave,Normal Item,NPC,,,FALSE,ITEM_LETTER,,,,,,,,
ITEM_RARE_CANDY,Granite Cave,Normal Item,Item Ball,FLAG_ITEM_GRANITE_CAVE_B2F_RARE_CANDY,,FALSE,,,,,,,,,
SPECIES_REGICE,Island Cave,Trainer,Legendary Pokemon,,,FALSE,,,,,,,,,
ITEM_FULL_HEAL,Jagged Pass,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_JAGGED_PASS_FULL_HEAL,,TRUE,,,,,,,,,
ITEM_BURN_HEAL,Jagged Pass,Normal Item,Item Ball,FLAG_ITEM_JAGGED_PASS_BURN_HEAL,,FALSE,,,,,,,,,
ITEM_GREAT_BALL,Jagged Pass,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_JAGGED_PASS_GREAT_BALL,,TRUE,,,,,,,,,
TRAINER_Eric,Jagged Pass,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Jagged_Pass,Jagged Pass,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Diana_1,Jagged Pass,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Autumn,Jagged Pass,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Julio,Jagged Pass,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Ethan_1,Jagged Pass,Trainer,Trainer,,,FALSE,,,,,,,,,
ITEM_ICE_HEAL,Lavaridge,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_LAVARIDGE_TOWN_ICE_HEAL,,TRUE,,,,,,,,,
ITEM_CHARCOAL,Lavaridge,Normal Item,NPC,,,FALSE,,,,,,,,,
ITEM_GO_GOGGLES,Lavaridge,Normal Item,NPC,,,FALSE,,,,,,,,,
SPECIES_WYNAUT,Lavaridge,Egg,NPC,,,FALSE,,,,,,,,,
TRAINER_Jeff,Lavaridge Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Jace,Lavaridge Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Eli,Lavaridge Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Cole,Lavaridge Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Gerald,Lavaridge Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Axle,Lavaridge Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Keegan,Lavaridge Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Danielle,Lavaridge Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Flannery_1,Lavaridge Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
FLAG_BADGE04_GET,Lavaridge Gym,Badge,Gym Leader,,,FALSE,,,,,,,,,
ITEM_TM44,Lillycove,Normal Item,NPC,,,FALSE,,,,,,,,,
ITEM_PP_UP,Lillycove,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_LILYCOVE_CITY_PP_UP,,TRUE,,,,,,,,,
ITEM_POKE_BALL,Lillycove,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_LILYCOVE_CITY_POKE_BALL,,TRUE,,,,,,,,,
ITEM_HEART_SCALE,Lillycove,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_LILYCOVE_CITY_HEART_SCALE,,TRUE,,,,,,,,,
ITEM_MAX_REPEL,Lillycove,Normal Item,Item Ball,FLAG_ITEM_LILYCOVE_CITY_MAX_REPEL,,FALSE,,,,,,,,,
TRAINER_May_Lilycove_Mudkip,Lillycove,Trainer,Trainer,,,FALSE,,,,,,,,,
ITEM_POKE_BALL 5,Littleroot,Normal Item,NPC,,,FALSE,,,,,,,,,
ITEM_RARE_CANDY,Magma Hideout,Normal Item,Item Ball,FLAG_ITEM_MAGMA_HIDEOUT_1F_RARE_CANDY,,FALSE,,,,,,,,,
ITEM_NUGGET,Magma Hideout,Normal Item,Item Ball,FLAG_ITEM_MAGMA_HIDEOUT_3F_1R_NUGGET,,FALSE,,,,,,,,,
ITEM_MAX_REVIVE,Magma Hideout,Normal Item,Item Ball,FLAG_ITEM_MAGMA_HIDEOUT_4F_MAX_REVIVE,,FALSE,,,,,,,,,
ITEM_ESCAPE_ROPE,Magma Hideout,Normal Item,Item Ball,FLAG_ITEM_MAGMA_HIDEOUT_3F_3R_ECAPE_ROPE,,FALSE,,,,,,,,,
ITEM_PP_MAX,Magma Hideout,Normal Item,Item Ball,FLAG_ITEM_MAGMA_HIDEOUT_3F_2R_PP_MAX,,FALSE,,,,,,,,,
ITEM_FULL_RESTORE,Magma Hideout,Normal Item,Item Ball,FLAG_ITEM_MAGMA_HIDEOUT_2F_2R_FULL_RESTORE,,FALSE,,,,,,,,,
ITEM_MAX_ELIXIR,Magma Hideout,Normal Item,Item Ball,FLAG_ITEM_MAGMA_HIDEOUT_2F_2R_MAX_ELIXIR,,FALSE,,,,,,,,,
TRAINER_Grunt_Magma_Hideout_1,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Magma_Hideout_2,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Magma_Hideout_3,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Magma_Hideout_4,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Magma_Hideout_5,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Magma_Hideout_6,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Magma_Hideout_7,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Magma_Hideout_8,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Magma_Hideout_9,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Magma_Hideout_10,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Magma_Hideout_11,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Magma_Hideout_12,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Magma_Hideout_13,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Magma_Hideout_14,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Magma_Hideout_15,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Magma_Hideout_16,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Tabitha_Magma_Hideout,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Maxie_Magma_Hideout,Magma Hideout,Trainer,Trainer,,,FALSE,,,,,,,,,
SPECIES_KYOGRE,Marine Cave,Trainer,Legendary Pokemon,,,FALSE,,,,,,,,,
ITEM_COIN_CASE,Mauville City,Normal Item,NPC,,,FALSE,ITEM_HARBOR_MAIL,,,,,,,,
ITEM_X_SPEED,Mauville City,Normal Item,Item Ball,FLAG_ITEM_MAUVILLE_CITY_X_SPEED,,FALSE,,,,,,,,,
ITEM_HM06,Mauville City,Normal Item,NPC,,,FALSE,,,,,,,,,
ITEM_BASEMENT_KEY,Mauville City,Normal Item,NPC,,,FALSE,,,,,,,,,
ITEM_TM24,Mauville City,Normal Item,NPC,,,FALSE,,,,,,,,,
TRAINER_Wally_Mauville,Mauville City,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Vivian,Mauville Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Kirk,Mauville Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Ben,Mauville Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Angelo,Mauville Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Shawn,Mauville Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Wattson_1,Mauville Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
FLAG_BADGE03_GET,Mauville Gym,Badge,Gym Leader,,,FALSE,,,,,,,,,
ITEM_FULL_HEAL,Meteor Falls,Normal Item,Item Ball,FLAG_ITEM_METEOR_FALLS_1F_1R_FULL_HEAL,,FALSE,,,,,,,,,
ITEM_MOON_STONE,Meteor Falls,Normal Item,Item Ball,FLAG_ITEM_METEOR_FALLS_1F_1R_MOON_STONE,,FALSE,,,,,,,,,
ITEM_TM_IRON_TAIL,Meteor Falls,Normal Item,Item Ball,FLAG_ITEM_METEOR_FALLS_1F_1R_TM_IRON_TAIL,,FALSE,ITEM_HM03,ITEM_HM07,,,,,,,
ITEM_TM_DRAGON_CLAW,Meteor Falls,Normal Item,Item Ball,FLAG_ITEM_METEOR_FALLS_B1F_2R_TM_DRAGON_CLAW,,FALSE,ITEM_HM03,ITEM_HM07,,,,,,,
ITEM_PP_UP,Meteor Falls,Normal Item,Item Ball,FLAG_ITEM_METEOR_FALLS_1F_1R_PP_UP,,FALSE,ITEM_HM03,ITEM_HM07,,,,,,,
TRAINER_John_And_Jay_1,Meteor Falls,Trainer,Trainer,,,FALSE,ITEM_HM03,ITEM_HM07,,,,,,,
TRAINER_Nicolas_1,Meteor Falls,Trainer,Trainer,,,FALSE,ITEM_HM03,ITEM_HM07,,,,,,,
TRAINER_Steven,Meteor Falls,Trainer,Trainer,,,FALSE,,,,,,,,,
ITEM_NET_BALL,Mossdeep,Normal Item,Item Ball,FLAG_ITEM_MOSSDEEP_CITY_NET_BALL,,FALSE,,,,,,,,,
ITEM_KINGS_ROCK,Mossdeep,Normal Item,NPC,,,FALSE,,,,,,,,,
ITEM_HM08,Mossdeep,Normal Item,NPC,,,FALSE,,,,,,,,,
ITEM_SUPER_ROD,Mossdeep,Normal Item,NPC,,,FALSE,,,,,,,,,
"SPECIES_BELDUM, 5",Mossdeep,Pokemon,NPC,,,FALSE,,,,,,,,,
TRAINER_Preston,Mosdeep Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Maura,Mosdeep Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Samantha,Mosdeep Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Blake,Mosdeep Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Macey,Mosdeep Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Clifford,Mosdeep Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Kathleen,Mosdeep Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Nicholas,Mosdeep Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Nate,Mosdeep Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Virgil,Mosdeep Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Sylvia,Mosdeep Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Hannah,Mosdeep Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Tate_And_Liza_1,Mosdeep Gym,Trainer,Trainer,,,FALSE,,,,,,,,,
FLAG_BADGE07_GET,Mosdeep Gym,Badge,Gym Leader,,,FALSE,,,,,,,,,
ITEM_METEORITE,Mt Chimney,Normal Item,NPC,,,FALSE,,,,,,,,,
ITEM_CLEANSE_TAG,Mt Pyre,Normal Item,NPC,,,FALSE,,,,,,,,,
ITEM_ULTRA_BALL,Mt Pyre,Normal Item,Item Ball,FLAG_ITEM_MT_PYRE_2F_ULTRA_BALL,,FALSE,,,,,,,,,
ITEM_SUPER_REPEL,Mt Pyre,Normal Item,Item Ball,FLAG_ITEM_MT_PYRE_3F_SUPER_REPEL,,FALSE,,,,,,,,,
ITEM_SEA_INCENSE,Mt Pyre,Normal Item,Item Ball,FLAG_ITEM_MT_PYRE_4F_SEA_INCENSE,,FALSE,,,,,,,,,
ITEM_LAX_INCENSE,Mt Pyre,Normal Item,Item Ball,FLAG_ITEM_MT_PYRE_5F_LAX_INCENSE,,FALSE,,,,,,,,,
ITEM_TM_SHADOW_BALL,Mt Pyre,Normal Item,Item Ball,FLAG_ITEM_MT_PYRE_6F_TM_SHADOW_BALL,,FALSE,,,,,,,,,
ITEM_TM_SKILL_SWAP,Mt Pyre,Normal Item,Item Ball,FLAG_ITEM_MT_PYRE_EXTERIOR_TM_SKILL_SWAP,,FALSE,,,,,,,,,
ITEM_MAX_POTION,Mt Pyre,Normal Item,Item Ball,FLAG_ITEM_MT_PYRE_EXTERIOR_MAX_POTION,,FALSE,,,,,,,,,
ITEM_MAX_ETHER,Mt Pyre,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_MT_PYRE_EXTERIOR_MAX_ETHER,,TRUE,,,,,,,,,
ITEM_ULTRA_BALL,Mt Pyre,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_MT_PYRE_EXTERIOR_ULTRA_BALL,,TRUE,,,,,,,,,
ITEM_ZINC,Mt Pyre,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_MT_PYRE_SUMMIT_ZINC,,TRUE,,,,,,,,,
ITEM_RARE_CANDY,Mt Pyre,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_MT_PYRE_SUMMIT_RARE_CANDY,,TRUE,,,,,,,,,
ITEM_MAGMA_EMBLEM,Mt Pyre,Normal Item,NPC,,,FALSE,,,,,,,,,
TRAINER_Mark,Mt Pyre,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Leah,Mt Pyre,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Zander,Mt Pyre,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Dez_And_Luke,Mt Pyre,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Kayla,Mt Pyre,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Gabrielle_1,Mt Pyre,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_William,Mt Pyre,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Tasha,Mt Pyre,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Atsushi,Mt Pyre,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Valerie_1,Mt Pyre,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Cedric,Mt Pyre,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Mt_Pyre_1,Mt Pyre,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Mt_Pyre_2,Mt Pyre,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Mt_Pyre_3,Mt Pyre,Trainer,Trainer,,,FALSE,,,,,,,,,
TRAINER_Grunt_Mt_Pyre_4,Mt Pyre,Trainer,Trainer,,,FALSE,,,,,,,,,
ITEM_SACRED_ASH,Navel Rock,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_NAVEL_ROCK_TOP_SACRED_ASH,,TRUE,,,,,,,,,
SPECIES_HO_OH,Navel Rock,Trainer,Legendary Pokemon,,,FALSE,,,,,,,,,
ITEM_ESCAPE_ROPE,New Mauville,Normal Item,Item Ball,FLAG_ITEM_NEW_MAUVILLE_ESCAPE_ROPE,,FALSE,,,,,,,,,
ITEM_ULTRA_BALL,New Mauville,Normal Item,Item Ball,FLAG_ITEM_NEW_MAUVILLE_ULTRA_BALL,,FALSE,,,,,,,,,
ITEM_PARALYZE_HEAL,New Mauville,Normal Item,Item Ball,FLAG_ITEM_NEW_MAUVILLE_PARALYZE_HEAL,,FALSE,,,,,,,,,
ITEM_FULL_HEAL,New Mauville,Normal Item,Item Ball,FLAG_ITEM_NEW_MAUVILLE_FULL_HEAL,,FALSE,,,,,,,,,
ITEM_THUNDER_STONE,New Mauville,Normal Item,Item Ball,FLAG_ITEM_NEW_MAUVILLE_THUNDER_STONE,,FALSE,,,,,,,,,
SPECIES_VOLTORB,New Mauville,Trap,Item Ball,FLAG_HIDE_NEW_MAUVILLE_VOLTORB_1,,FALSE,,,,,,,,,
SPECIES_VOLTORB,New Mauville,Trap,Item Ball,FLAG_HIDE_NEW_MAUVILLE_VOLTORB_2,,FALSE,,,,,,,,,
SPECIES_VOLTORB,New Mauville,Trap,Item Ball,FLAG_HIDE_NEW_MAUVILLE_VOLTORB_3,,FALSE,,,,,,,,,
ITEM_POTION,Oldale Town,Normal Item,NPC,Oldale_Eventscript_Item,,FALSE,,,,,,,,,
ITEM_TM21,Pacifidlog,Normal Item,NPC,,,FALSE,,,,,,,,,
ITEM_TM27,Pacifidlog,Normal Item,NPC,,,FALSE,,,,,,,,,
ITEM_HM03,Petalburg,Normal Item,NPC,,,FALSE,,,,,,,,,
ITEM_MAX_REVIVE,Petalburg,Normal Item,Item Ball,FLAG_ITEM_PETALBURG_CITY_MAX_REVIVE,,FALSE,,,,,,,,,
ITEM_ETHER,Petalburg,Normal Item,Item Ball,FLAG_ITEM_PETALBURG_CITY_ETHER,,FALSE,,,,,,,,,
